"filename", "language", "TypeScript", "CSS", "TypeScript React", "XML", "SCSS", "comment", "blank", "total"
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\methods\drop-helper.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\methods\find-group.ts", "TypeScript", 49, 0, 0, 0, 0, 2, 10, 61
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\methods\new-note.ts", "TypeScript", 18, 0, 0, 0, 0, 2, 4, 24
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\methods\num-finders.ts", "TypeScript", 41, 0, 0, 0, 0, 2, 8, 51
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\methods\trashHandlers.ts", "TypeScript", 25, 0, 0, 0, 0, 8, 6, 39
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\methods\update-helper.ts", "TypeScript", 9, 0, 0, 0, 0, 2, 3, 14
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\reportWebVitals.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\setupTests.ts", "TypeScript", 1, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 545, 26, 1064, 1, 677, 622, 424, 3359
