"filename", "language", "TypeScript", "CSS", "XML", "TypeScript React", "SCSS", "comment", "blank", "total"
"c:\Users\rideo\Dropbox\Code\projects\elephant-ts\src\components\pad-frame\pad-frame.component.tsx", "TypeScript React", 0, 0, 0, 47, 0, 3, 11, 61
"c:\Users\rideo\Dropbox\Code\projects\elephant-ts\src\components\pad-frame\pad-frame.styles.scss", "SCSS", 0, 0, 0, 0, 32, 1, 6, 39
"c:\Users\rideo\Dropbox\Code\projects\elephant-ts\src\components\sign-in\sign-in.component.tsx", "TypeScript React", 0, 0, 0, 72, 0, 2, 15, 89
"c:\Users\rideo\Dropbox\Code\projects\elephant-ts\src\components\sign-in\sign-in.styles.scss", "SCSS", 0, 0, 0, 0, 12, 0, 3, 15
"c:\Users\rideo\Dropbox\Code\projects\elephant-ts\src\components\sign-up\sign-up.component.tsx", "TypeScript React", 0, 0, 0, 99, 0, 2, 22, 123
"c:\Users\rideo\Dropbox\Code\projects\elephant-ts\src\components\sign-up\sign-up.styles.scss", "SCSS", 0, 0, 0, 0, 13, 0, 3, 16
"c:\Users\rideo\Dropbox\Code\projects\elephant-ts\src\components\signinupmodal\signinupmodal.component.tsx", "TypeScript React", 0, 0, 0, 22, 0, 4, 7, 33
"c:\Users\rideo\Dropbox\Code\projects\elephant-ts\src\components\signinupmodal\signinupmodal.styles.scss", "SCSS", 0, 0, 0, 0, 8, 0, 1, 9
"c:\Users\rideo\Dropbox\Code\projects\elephant-ts\src\components\trash-frame\trash-frame.component.tsx", "TypeScript React", 0, 0, 0, 27, 0, 2, 6, 35
"c:\Users\rideo\Dropbox\Code\projects\elephant-ts\src\components\trash-frame\trash-frame.styles.scss", "SCSS", 0, 0, 0, 0, 42, 1, 10, 53
"c:\Users\rideo\Dropbox\Code\projects\elephant-ts\src\components\user-interface\user-interface.component.tsx", "TypeScript React", 0, 0, 0, 19, 0, 2, 6, 27
"c:\Users\rideo\Dropbox\Code\projects\elephant-ts\src\components\user-interface\user-interface.styles.scss", "SCSS", 0, 0, 0, 0, 5, 2, 3, 10
"c:\Users\rideo\Dropbox\Code\projects\elephant-ts\src\components\user-options\user-options.component.tsx", "TypeScript React", 0, 0, 0, 55, 0, 4, 9, 68
"c:\Users\rideo\Dropbox\Code\projects\elephant-ts\src\components\user-options\user-options.styles.scss", "SCSS", 0, 0, 0, 0, 71, 2, 14, 87
"c:\Users\rideo\Dropbox\Code\projects\elephant-ts\src\context\main\MainReducer.ts", "TypeScript", 257, 0, 0, 0, 0, 19, 41, 317
"c:\Users\rideo\Dropbox\Code\projects\elephant-ts\src\context\main\MainState.tsx", "TypeScript React", 0, 0, 0, 124, 0, 3, 9, 136
"c:\Users\rideo\Dropbox\Code\projects\elephant-ts\src\firebase\firebase.utils.ts", "TypeScript", 106, 0, 0, 0, 0, 5, 23, 134
"c:\Users\rideo\Dropbox\Code\projects\elephant-ts\src\index.css", "CSS", 0, 22, 0, 0, 0, 0, 4, 26
"c:\Users\rideo\Dropbox\Code\projects\elephant-ts\src\index.tsx", "TypeScript React", 0, 0, 0, 17, 0, 2, 5, 24
"c:\Users\rideo\Dropbox\Code\projects\elephant-ts\src\logo.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rideo\Dropbox\Code\projects\elephant-ts\src\methods\drop-helper.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\rideo\Dropbox\Code\projects\elephant-ts\src\methods\find-group.ts", "TypeScript", 36, 0, 0, 0, 0, 6, 14, 56
"c:\Users\rideo\Dropbox\Code\projects\elephant-ts\src\methods\new-note.ts", "TypeScript", 25, 0, 0, 0, 0, 2, 8, 35
"c:\Users\rideo\Dropbox\Code\projects\elephant-ts\src\methods\num-finders.ts", "TypeScript", 29, 0, 0, 0, 0, 4, 7, 40
"c:\Users\rideo\Dropbox\Code\projects\elephant-ts\src\methods\trashHandlers.ts", "TypeScript", 23, 0, 0, 0, 0, 8, 6, 37
"c:\Users\rideo\Dropbox\Code\projects\elephant-ts\src\methods\update-helper.ts", "TypeScript", 5, 0, 0, 0, 0, 2, 3, 10
"c:\Users\rideo\Dropbox\Code\projects\elephant-ts\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\rideo\Dropbox\Code\projects\elephant-ts\src\reportWebVitals.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\rideo\Dropbox\Code\projects\elephant-ts\src\setupTests.ts", "TypeScript", 1, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 1111, 26, 1, 1234, 602, 134, 455, 3563
