"filename", "language", "TypeScript React", "comment", "blank", "total"
"c:\Users\rideo\Dropbox\Code\projects\elephant-ts\src\App.tsx", "TypeScript React", 0, 4, -1, 3
"Total", "-", 0, 4, -1, 3
